Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
CRPG5,"26,3","7,21","0,84","0,837","21,24%","0,65","1,4","8,31","1,82","6,62","4,9","10,07%","11,61%","4,91","9,69%","11,62%","570.483,00","911.266.000,00","0,01","12,63%"
ENGI11,"41,68","7,24","1,46","0,623","7,48%","0,285","6,01","2,79","-0,54","6,37","5,26","22,35%","9,63%","1,22","11,73%","20,11%","99.291.800,00","11.665.100.000,00","2,37","15,68%"
TUPY3,"26,05","7,3","1,21","0,389","1,45%","0,419","0,99","4,22","17,73","5,95","4,22","9,23%","5,26%","2,66","15,53%","16,55%","26.101.600,00","3.107.290.000,00","1,13","18,27%"
SLCE3,"45,98","7,32","2,04","1,062","5,28%","0,647","3,39","3,88","-3,34","5,08","4,75","27,37%","15,20%","1,68","19,76%","27,88%","58.427.400,00","4.788.890.000,00","0,91","36,20%"
GETT4,"2,33","7,33","1,2","1,298","4,66%","0,079","3,04","5,86","3,27","6,68","4,65","22,13%","17,66%","1,03","1,36%","16,41%","123.232,00","3.618.060.000,00","0,34","0,00%"
GETT3,"2,33","7,33","1,2","1,298","4,24%","0,079","3,04","5,86","3,27","6,68","4,65","22,13%","17,66%","1,03","1,36%","16,41%","116.161,00","3.618.060.000,00","0,34","0,00%"
BPAC5,"4,57","7,35","1,24",0,"3,85%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","16,93%","62.575,70","42.262.000.000,00",0,"45,70%"
SBFG3,"10,66","7,36","1,12","0,436","1,10%","0,341","1,66","5,96","-1,52","11,36","6,28","7,31%","5,91%","1,77","6,77%","15,23%","33.333.900,00","2.317.740.000,00","1,13","48,28%"
ELPL3,"49,32","7,43","5,17","0,501","0,00%","0,319","51,66","3,56","-0,47","5,83","4,52","14,10%","6,75%","1,02","10,24%","69,64%",0,"1.882.170.000,00","4,07","9,40%"
REDE3,"5,4","7,43","2,71","0,719","9,67%","0,448","5,29","3,08","-0,95","5,42","4,58","23,31%","13,14%","1,41","16,58%","36,48%","10.556,30","4.202.200.000,00","2,55","12,91%"
CSNA3,"13,91","7,56","0,87","0,423","15,05%","0,223","1,9","1,69","-0,67","3,64","2,93","25,07%","6,95%","1,45","18,04%","11,56%","202.752.000,00","21.112.500.000,00","1,76","22,34%"
CMIN3,"3,84","7,57","1,6","1,763","26,08%","0,795","2,83","5,07","-12,48","4,7","3,82","34,78%","23,29%","2,77","26,49%","21,13%","39.871.100,00","13.168.100.000,00","0,62","-43,77%"
DPPI4,"38,9","7,62","2,28","-0,665","0,00%","1,718","3,98","87,28","4,46","73,74","73,74","-0,76%","-5,04%","3,14","3,00%","29,97%",0,"545.227.000,00","0,06","15,14%"
CCTU4,"37,28","7,65","0,92","0,307","0,00%","0,405","2,29","14,56","-28,32","21,77","21,77","2,10%","4,00%","1,48","2,96%","12,07%",0,"82.550.000,00","0,48","12,54%"
ITUB4,"23,68","7,66","1,46",0,"4,30%",0,0,0,0,0,0,"0,00%","0,00%",0,"0,00%","19,13%","1.373.050.000,00","158.498.000.000,00",0,"-46,09%"
ALUP4,"8,29","7,7","1,01","1,723","4,95%","0,266","2,23","2,25","-0,62","4,92","4,7","76,57%","40,51%","2,86","13,13%","13,16%","166.719,00","7.188.600.000,00","1,54","27,27%"
LVTC3,"5,5","7,76","0,55","0,333","3,16%","0,21","0,62","1,48","-6,74","0,73","0,44","22,46%","4,29%","2,37","16,89%","7,08%","1.022.460,00","647.900.000,00",0,"0,00%"
DMVF3,"3,6","7,8","0,22","0,13","0,00%","0,126","2,73","1,49","-0,9","1,3","0,72","8,71%","1,67%","1,2","10,24%","2,76%","239.133,00","846.554.000,00","0,03","29,18%"
EZTC3,"12,92","7,81","0,64","2,893","6,14%","0,517","1,47","16,87","2,02","14,44","13,61","17,15%","39,12%","5,47","3,71%","8,18%","37.378.600,00","4.470.660.000,00","0,11","30,57%"
BRBI11,"10,84","7,89","1,48","0,781","9,11%","0,172","1,48","4,66","1,63","1,15","1,13","16,74%","9,90%","1,13","231,16%","18,70%","1.118.340,00","771.376.000,00","7,34","0,00%"
